pais,codigo,nome,tenho,repetidos
"FWC","00","Panini Logo - We Are Panini","sim","0"
"FWC","FWC 1","Official Emblem","nao","0"
"FWC","FWC 2","Official Emblem","nao","0"
"FWC","FWC 3","Official Mascots","nao","0"
"FWC","FWC 4","Official Slogan","sim","0"
"FWC","FWC 5","Official Ball","nao","0"
"FWC","FWC 6","Canada - Host Countries & Cities","sim","0"
"FWC","FWC 7","Mexico - Host Countries & Cities","nao","0"
"FWC","FWC 8","USA - Host Countries & Cities","sim","0"
"MEX","MEX 1","Cromo Emblema","nao","0"
"MEX","MEX 2","Luis Malagón","sim","0"
"MEX","MEX 3","Johan Vasquez","nao","0"
"MEX","MEX 4","Jorge Sánchez","nao","0"
"MEX","MEX 5","Cesar Montes","sim","0"
"MEX","MEX 6","Jesus Gallardo","nao","0"
"MEX","MEX 7","Israel Reyes","nao","0"
"MEX","MEX 8","Diego Lainez","sim","0"
"MEX","MEX 9","Carlos Rodriguez","nao","0"
"MEX","MEX 10","Edson Alvarez","nao","0"
"MEX","MEX 11","Orbelin Pineda","sim","0"
"MEX","MEX 12","Marcel Ruiz","nao","0"
"MEX","MEX 13","Cromo Equipa","nao","0"
"MEX","MEX 14","Érick Sánchez","nao","0"
"MEX","MEX 15","Hirving Lozano","nao","0"
"MEX","MEX 16","Santiago Giménez","nao","0"
"MEX","MEX 17","Raúl Jiménez","nao","0"
"MEX","MEX 18","Alexis Vega","nao","0"
"MEX","MEX 19","Roberto Alvarado","nao","0"
"MEX","MEX 20","Cesar Huerta","nao","0"
"RSA","RSA 1","Cromo Emblema","nao","0"
"RSA","RSA 2","Ronwen Williams","nao","0"
"RSA","RSA 3","Sipho Chaine","nao","0"
"RSA","RSA 4","Aubrey Modiba","nao","0"
"RSA","RSA 5","Samukele Kabini","sim","0"
"RSA","RSA 6","Mbekezeli Mbokazi","nao","0"
"RSA","RSA 7","Khulumani Ndamane","nao","0"
"RSA","RSA 8","Siyabonga Ngezana","nao","0"
"RSA","RSA 9","Khuliso Mudau","nao","0"
"RSA","RSA 10","Nkosinathi Sibisi","nao","0"
"RSA","RSA 11","Teboho Mokoena","nao","0"
"RSA","RSA 12","Thalente Mbatha","sim","0"
"RSA","RSA 13","Cromo Equipa","nao","0"
"RSA","RSA 14","Bathasi Aubaas","sim","0"
"RSA","RSA 15","Yaya Sithole","nao","0"
"RSA","RSA 16","Sipho Mbule","nao","0"
"RSA","RSA 17","Lyle Foster","sim","0"
"RSA","RSA 18","Iqraam Rayners","nao","0"
"RSA","RSA 19","Mohau Nkota","nao","0"
"RSA","RSA 20","Oswin Appollis","nao","0"
"KOR","KOR 1","Cromo Emblema","sim","0"
"KOR","KOR 2","Hyeon-woo Jo","nao","0"
"KOR","KOR 3","Seung-Gyu Kim","sim","0"
"KOR","KOR 4","Min-jae Kim","nao","0"
"KOR","KOR 5","Yu-min Cho","nao","0"
"KOR","KOR 6","Young-woo Seol","nao","0"
"KOR","KOR 7","Han-beom Lee","nao","0"
"KOR","KOR 8","Tae-seok Lee","sim","0"
"KOR","KOR 9","Myung-jae Lee","nao","0"
"KOR","KOR 10","Jae-sung Lee","nao","0"
"KOR","KOR 11","In-beom Hwang","nao","0"
"KOR","KOR 12","Kang-in Lee","nao","0"
"KOR","KOR 13","Cromo Equipa","nao","0"
"KOR","KOR 14","Seung-ho Paik","nao","0"
"KOR","KOR 15","Jens Castrop","nao","0"
"KOR","KOR 16","Dongg-yeong Lee","nao","0"
"KOR","KOR 17","Gue-sung Cho","nao","0"
"KOR","KOR 18","Heung-min Son","sim","0"
"KOR","KOR 19","Hee-chan Hwang","nao","0"
"KOR","KOR 20","Hyeon-Gyu Oh","nao","0"
"CZE","CZE 1","Cromo Emblema","sim","0"
"CZE","CZE 2","Matej Kovar","nao","0"
"CZE","CZE 3","Jindrich Stanek","nao","0"
"CZE","CZE 4","Ladislav Krejci","nao","0"
"CZE","CZE 5","Vladimir Coufal","nao","0"
"CZE","CZE 6","Jaroslav Zeleny","sim","0"
"CZE","CZE 7","Tomas Holes","sim","0"
"CZE","CZE 8","David Zima","sim","0"
"CZE","CZE 9","Michal Sadilek","nao","0"
"CZE","CZE 10","Lukas Provod","nao","0"
"CZE","CZE 11","Lukas Cerv","nao","0"
"CZE","CZE 12","Tomas Soucek","nao","0"
"CZE","CZE 13","Cromo Equipa","nao","0"
"CZE","CZE 14","Pavel Sulc","nao","0"
"CZE","CZE 15","Matej Vydra","sim","0"
"CZE","CZE 16","Vasil Kusej","nao","0"
"CZE","CZE 17","Tomas Chory","sim","0"
"CZE","CZE 18","Vaclav Cerny","sim","0"
"CZE","CZE 19","Adam Hlozek","nao","0"
"CZE","CZE 20","Patrik Schick","nao","0"
"CAN","CAN 1","Cromo Emblema","sim","0"
"CAN","CAN 2","Dayne St.Clair","nao","0"
"CAN","CAN 3","Alphonso Davies","nao","0"
"CAN","CAN 4","Alistair Johnston","nao","0"
"CAN","CAN 5","Samuel Adekugbe","sim","0"
"CAN","CAN 6","Riche Larvea","nao","0"
"CAN","CAN 7","Derek Cornelius","nao","0"
"CAN","CAN 8","Moïse Bombito","nao","0"
"CAN","CAN 9","Kamal Miller","nao","0"
"CAN","CAN 10","Stephen Eustáquio","nao","0"
"CAN","CAN 11","Ismaël Koné","sim","0"
"CAN","CAN 12","Jonathan Osorio","sim","0"
"CAN","CAN 13","Cromo Equipa","nao","0"
"CAN","CAN 14","Jacob Shaffelburg","nao","0"
"CAN","CAN 15","Mathieu Choinière","nao","0"
"CAN","CAN 16","Niko Sigur","nao","0"
"CAN","CAN 17","Tajon Buchanan","nao","0"
"CAN","CAN 18","Liam Millar","nao","0"
"CAN","CAN 19","Cyle Larin","nao","0"
"CAN","CAN 20","Jonathan David","nao","0"
"BIH","BIH 1","Cromo Emblema","sim","0"
"BIH","BIH 2","Nikola Vasilj","nao","0"
"BIH","BIH 3","Amer Dedic","nao","0"
"BIH","BIH 4","Sead Kolasinac","nao","0"
"BIH","BIH 5","Tarik Muharemovic","nao","0"
"BIH","BIH 6","Nihad Mujakic","sim","0"
"BIH","BIH 7","Nikola Katic","nao","0"
"BIH","BIH 8","Amir Hadziahmetovic","nao","0"
"BIH","BIH 9","Benjamin Tahirovic","nao","0"
"BIH","BIH 10","Armin Gigovic","nao","0"
"BIH","BIH 11","Ivan Sunjic","nao","0"
"BIH","BIH 12","Ivan Basic","nao","0"
"BIH","BIH 13","Cromo Equipa","nao","0"
"BIH","BIH 14","Dzenis Burnic","nao","0"
"BIH","BIH 15","Esmir Bajraktarevic","nao","0"
"BIH","BIH 16","Amar Memic","sim","0"
"BIH","BIH 17","Ermedin Demirovic","nao","0"
